Goku (Super Saiyan 2),28,4500,450,500,5,6,TRUE
Kamehameha,Maximum Charge,,,,,,
Super Saiyan,Instant Kamehameha,,,,,,
Vegeta (Super Saiyan 2),27,4200,500,450,6,4,TRUE
Maximum Charge,Galick Gun,Big Bang Attack,,,,,
Super Saiyan,Final Flash,,,,,,
Gohan (Super Saiyan 2),30,5000,550,550,6,7,TRUE
Kamehameha,Maximum Charge,Masenko,,,,,
Super Saiyan,Father-Son Kamehameha,,,,,,
Future Trunks (Super Saiyan 2),26,4300,400,400,6,5,TRUE
Maximum Charge,Masenko,Ki Blast Thrust,,,,,
Super Saiyan,Explosive Assault,,,,,,
Piccolo (Fused w. Kami),25,4300,400,400,5,6,TRUE
Maximum Charge,Evil Explosion,Masenko,,,,,
Special Beam Cannon,,,,,,,
Android 17,25,4200,400,400,7,7,TRUE
Power Blitz,Energy Shield,Endgame,,,,,
Super Electric Strike,,,,,,,
Android 18,25,4200,400,400,7,7,TRUE
Sadistic 18,Destructo Disc,Power Blitz,,,,,
Super Electric Strike,,,,,,,
Cell (Perfect Form),29,4700,450,500,6,5,TRUE
Maximum Charge,Perfect Death Beam,Perfect Special Beam Cannon,Perfect Galick Gun,,,,
Perfect Kamehameha,Perfect Spirit Bomb,,,,,,
Cell Junior,22,3800,350,350,5,3,FALSE
Kamehameha,Galick Gun,,,,,,
Special Beam Cannon,,,,,,,
